Sean, Rodriguez, 15234441,3.14, RoSe4441
Bryan, Phillips, 82286128,2.587, PhBr0128
David, DiMarco, 16473331,3.548, DiDa0331
David, Waxman, 56351104,3.352, WaDa0104
John, Passanante, 24869772,2.12, PaJo0772
Michelle, Kudrow, 36635319,2.169, KuMi0319
Leslie, DiMarco, 49062056,2.213, DiLe0056
Leslie, DiMarco, 71168017,2.168, DiLe0017
Bob, Reich, 19372516,2.984, ReBo0516
Bob, Kudrow, 65641595,3.374, KuBo0595
David, Kudrow, 98376008,3.514, KuDa0008
Bob, DiMarco, 60547631,3.633, DiBo0631
Lisa, Phillips, 12764038,2.068, PhLi0038
David, Passanante, 51177339,1.645, PaDa0339
Bob, DiMarco, 21452191,1.31, DiBo0191
John, Waxman, 10369178,1.715, WaJo0178
Michael, DiMarco, 96063659,2.913, DiMi0659
Michelle, Waxman, 76386469,2.546, WaMi0469
David, Levitts, 32421662,2.814, LeDa0662
Lisa, Passanante, 80807863,1.175, PaLi0863
Stephanie, DiMarco, 84183616,2.042, DiSt0616
David, Levitts, 43813391,1.885, LeDa0391
Michael, Waxman, 22249820,3.859, WaMi0820
Michael, Levitts, 46748991,2.687, LeMi0991
Bryan, Levitts, 36079504,1.667, LeBr0504
Bryan, Reich, 74352281,1.708, ReBr0281
Stephanie, Passanante, 75547022,1.902, PaSt0022
Leslie, Kudrow, 81522394,3.581, KuLe0394
John, Phillips, 14471043,3.877, PhJo0043
Bob, Kudrow, 22016690,3.666, KuBo0690
Leslie, Levitts, 69449499,3.284, LeLe0499
Michelle, Kudrow, 48957182,3.707, KuMi0182
Michelle, Kudrow, 30133160,2.834, KuMi0160
Bryan, DiMarco, 39529433,2.249, DiBr0433
Michael, Kudrow, 19570596,2.228, KuMi0596
Michelle, Levitts, 48756809,2.918, LeMi0809
Bryan, Kudrow, 35757374,3.454, KuBr0374
Stephanie, Reich, 79732818,3.394, ReSt0818
David, DiMarco, 48022301,2.088, DiDa0301
Bryan, DiMarco, 10194440,3.676, DiBr0440
David, Phillips, 14383494,2.098, PhDa0494
Bob, Passanante, 87819167,3.968, PaBo0167
Bryan, Waxman, 18507126,2.342, WaBr0126
Bob, Passanante, 89128643,2.282, PaBo0643
Lisa, Phillips, 27401642,2.741, PhLi0642
